id,tuoteryhmä,name,energia. laskennallinen (kJ),rasva (g),rasvahapot tyydyttyneet (g),hiilihydraatti imeytyvä (g),sokerit (g),kuitu. kokonais- (g),proteiini (g),suola (mg),CO2 (g/100g tuotetta)
11049,hedelmät ja marjat,Banaani kuorittu,366.4,0.4,0.0,18.3,13.5,1.8,1.2,12.7,100
30572,proteiinin lähteet,Grillimakkara tuotekeskiarvo,960.4,17.3,6.7,8.4,1.1,0.2,10.4,1 854.6,450
345,proteiinin lähteet,Herkkusieni,62.9,0.2,0.0,0.3,0.1,1.5,2.1,8.1,5
11562,proteiinin lähteet,Jauheliha naudan rasvaa 17 %,951.2,16.9,7.5,0.0,0.0,0.0,19.1,147.8,3 107
33162,proteiinin lähteet,Jogurtti maustamaton rasvaa 25 %,227.7,2.5,1.6,4.8,4.8,0.0,3.0,108.3,132
33449,proteiinin lähteet,Juusto tuotekeskiarvo,1 159.4,20.0,12.7,0.2,0.2,0.0,23.4,1 441.2,1 220
900,ruokajuomat,Kahvi kahvijuoma keskiarvo,13.3,0.0,0.0,0.3,0.3,0.0,0.3,0.5,487
750,proteiinin lähteet,Kana,788.3,12.0,2.9,0.0,0.0,0.0,20.3,152.9,352
8513,proteiinin lähteet,Kananmuna keitetty,561.3,9.2,2.4,0.3,0.3,0.0,12.6,281.3,170
1513,hiilihydraattien lähteet,Kaurapuuro vesi suolaa,240.3,1.1,0.2,9.0,0.2,1.5,2.0,465.7,10
29014,ruokajuomat,Kookosmaito kookosjuoma,875.2,21.3,18.9,2.8,2.8,0.5,2.0,33.1,100
346,vihannekset,Kurkku,47.3,0.1,0.0,1.4,1.4,0.7,0.6,6.1,430
31180,proteiinin lähteet,Kvinoa keitetty suolaa,581.7,2.4,0.3,22.9,2.0,2.8,4.8,992.7,80
399,proteiinin lähteet,Linssi vihreä/ruskea kuivattu,1 304.3,1.1,0.2,45.7,1.2,8.9,24.4,30.6,29
30184,proteiinin lähteet,Lohifilee paistettu,924.2,15.6,3.0,0.0,0.0,0.0,20.3,1 197.1,324
675,ruokajuomat,Maito kevytmaito vl d-vitamiinia 1 ug,190.7,1.5,1.0,4.8,4.8,0.0,3.0,104.5,102
34713,hiilihydraattien lähteet,Makaroni täysjyvä,1 266.2,2.2,0.3,54.3,1.3,8.7,11.4,2.5,65
447,hedelmät ja marjat,Mansikka,186.7,0.3,0.0,7.7,7.0,1.9,0.5,5.1,15
442,hedelmät ja marjat,Mustikka metsämustikka,270.9,1.1,0.0,10.2,8.4,3.3,0.8,5.1,10
28941,hedelmät ja marjat,Omena kotimainen kuorineen,147.5,0.0,0.0,7.2,7.1,1.6,0.2,2.0,10
28955,hiilihydraattien lähteet,Peruna kuorineen keitetty suolaton,268.0,0.0,0.0,13.2,0.5,0.9,1.6,2.2,20
734,proteiinin lähteet,Poronliha,533.0,4.5,2.3,0.0,0.0,0.0,21.6,242.1,250
649,proteiinin lähteet,Raejuusto rasvaa 2-5 %,385.3,2.0,1.4,2.5,2.5,0.0,15.8,764.4,600
1376,hiilihydraattien lähteet,Riisi pitkäjyväinen keitetty suolaa,455.0,0.3,0.0,23.4,0.0,0.5,2.4,487.6,480
31812,hiilihydraattien lähteet,Ruisleipä oululainen reilu ruisleipä fazer,1 006.0,1.3,0.2,44.0,5.3,11.3,6.9,1 186.0,74
29207,proteiinin lähteet,Silakkafilee,601.3,8.9,2.0,0.0,0.0,0.0,16.0,157.7,59
352,vihannekset,Tomaatti,95.1,0.3,0.0,3.5,3.3,1.4,0.6,5.5,90
434,ruokajuomat,Täysmehu appelsiinitäysmehu c-vitamiinia,193.1,0.1,0.0,10.0,10.0,0.0,0.6,9.7,346
33100,hiilihydraattien lähteet,Vaalea leipä vaalea lounassämpylä vaasan,1 310.1,3.2,1.0,59.2,1.0,2.9,9.6,1 099.5,81
922,ruokajuomat,Vesi vesijohtovesi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0
